dataset,dataset_params,queryset,queryset_params,algorithm,sha,date,git_rev,hostname,conf_file,dataset_version,queryset_version,algorithm_params,algorithm_version,index_size_bytes,is_estimate,queryset_n,dataset_n,time_queries,time_index,total_time,algorithm_wpar,qps,workload_type,start_times_distribution
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,BTree,507b5968ec8ee2c3fec04b216a57c5a63344c1f6b9dcb6aa4f8a9dd0cf69ea91,2020-09-24T20:47:00Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,24869,2291,27160,BTree.,201.05352044714303,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,grid-file,39566da547c2ae5299d0e50a38ba7cdd63ff9047159ffe3b8de67e5fe053e7ca,2020-10-14T14:36:44Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,5494,642,6136,grid-file.side_cells=1000,910.0837277029487,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,interval-tree,1c47c33b07389afc7700f0c8095ae1cef715c6f290d0167ea596da38d97a2e3f,2020-09-24T20:47:56Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,15806,3038,18844,interval-tree.,316.33556877135265,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,period-index++,396f3a5ff49199033c145a8cb109ed833adbdf5325be5edac0320e67594f3c7f,2020-10-12T14:12:52Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=500,15,56,FALSE,5000,10000000,1362,746,2108,period-index++.page_size=500,3671.071953010279,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,BTree,d2607aff8c4b7f085bc4a85c2749a9146bf4b2983b812c6566abf2fcad817333,2020-09-24T21:19:24Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,187,2286,2473,BTree.,26737.967914438505,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,grid-file,30cb6dc95e09dbf66ac4a9fc2e2e017e674bfcb1338bbc5dd308ffee4f25b07b,2020-10-14T14:37:14Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,1903,598,2501,grid-file.side_cells=1000,2627.430373095113,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,interval-tree,ace47a6c65bd7e371c26dadb60a5f041686ad8e7e3d0fe14046bff9427e6abfa,2020-09-24T21:19:37Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,14236,2711,16947,interval-tree.,351.22225344197807,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,period-index++,38f568daba3be93e39a51392cd03d36d7635ad076efe7ec0ead586d6039e8171,2020-10-12T14:12:56Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=50,15,56,FALSE,5000,10000000,19,657,676,period-index++.page_size=50,263157.89473684214,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,BTree,811a9a2c6c1542c5d27f1579ae0ea3721177acde363308b304c665a4c2bf075c,2020-09-24T19:47:35Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,5600,2338,7938,BTree.,892.8571428571428,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,grid-file,c23166db4e60a45c58f9194b05f156f2f5e989a12fac6315e3bf037bdb6c9f34,2020-10-14T14:35:41Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,2212,634,2846,grid-file.side_cells=1000,2260.397830018083,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,interval-tree,e4e8b1283201dbf1bfc2c541af09b6297c26db2af1bb4f79b2fd7e381efc01db,2020-09-24T19:47:59Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,14787,2712,17499,interval-tree.,338.13484817745314,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,period-index++,19104f9c047b8ac178258ed5a813cd988eaab04cb54f6051437092aa850f1cff,2020-10-12T14:12:31Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=100,15,56,FALSE,5000,10000000,247,641,888,period-index++.page_size=100,20242.914979757086,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,period-index-*,a9ec26d9a5a16cd341c1dda590bc24800cb00e5fb99bfa67cde201b566a2d018,2020-10-16T17:57:46Z,64d6250,ironmaiden,experiments/all.yml,4,5,n_buckets=32 max_levels=4096,12,5952,FALSE,5000,10000000,2133,108081,110214,period-index-*.n_buckets=32 max_levels=4096,2344.116268166901,both,clustered
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,BTree,4c3a3ff6ff993d35b5bff4dadeed66044db3624a6435a86b592cbbd3d2c9824c,2020-09-24T17:02:56Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,4510,2295,6805,BTree.,1108.6474501108648,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,grid-file,396909209329e501b6c0c6999031382cc0e11af00737d9f1e5e48961dc7ebd8d,2020-10-14T14:19:16Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,128041,668,128709,grid-file.side_cells=1000,39.049991799501726,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,interval-tree,2cce1588dd9d30e622133edf3611d5abf16fcaf5b2e23637e8954a2e9af3b567,2020-09-24T17:03:57Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,427387,2876,430263,interval-tree.,11.698998799682723,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,period-index++,06bd7faefc94e793b23f6fd4694290984e331d275ae5ce889d6c4b76b84cf336,2020-10-19T10:44:22Z,99ef096,ironmaiden,experiments/all.yml,4,5,page_size=90,15,56,FALSE,5000,10000000,4551,672,5223,period-index++.page_size=90,1098.659635245001,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,period-index-*,1ef54a0a82c9aac0b72a04fbf52401236f985c391ce12b555319585ad4d9874f,2020-10-19T16:19:19Z,1a7c0c0,ironmaiden,experiments/all.yml,4,5,n_buckets=128 max_levels=4,12,23616,FALSE,5000,10000000,144536,92001,236537,period-index-*.n_buckets=128 max_levels=4,34.59345768528256,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,BTree,8d2d800cd50ace9a2da5db1fdf73fe80e621670dbf0149e8e04bd4c7a02dd84f,2020-09-24T17:55:33Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,23293,2371,25664,BTree.,214.65676383462844,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,grid-file,0349ce62463f6ad6cd817d047c684d070409456cdda5c0f0bbb108c2734719a6,2020-10-14T14:28:08Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,128861,742,129603,grid-file.side_cells=1000,38.801499289932565,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,interval-tree,b8a62c108b544469beeffbd4ffdaa276b965c30a2ad9ada2bdae60f271fe1fcf,2020-09-24T17:56:53Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,TRUE,5000,10000000,477143,2876,480019,interval-tree.,10.479038778730905,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,period-index++,366ab5482b65c681d4eb02a8bf0fb33afd5564a14d51cbcea66730183b5adbb4,2020-10-19T10:45:41Z,99ef096,ironmaiden,experiments/all.yml,4,5,page_size=30,15,56,FALSE,5000,10000000,23433,663,24096,period-index++.page_size=30,213.37430119916357,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=10000,period-index-*,6a057360c0d24ec419d183e4643278885d494a3e4bf617beefb0c46e2270c329,2020-10-19T16:40:06Z,1a7c0c0,ironmaiden,experiments/all.yml,4,5,n_buckets=128 max_levels=4,12,23616,FALSE,5000,10000000,207114,97945,305059,period-index-*.n_buckets=128 max_levels=4,24.141294166497676,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,BTree,d4899899e0096d4ef3a6e8893e393085675eabd1d727ff1678f119ce6dd1d05f,2020-09-24T18:52:05Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,178,2286,2464,BTree.,28089.88764044944,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,grid-file,0bb93512313c1477b32df87c97dbe96ca8caac048b9da0422f45185d2962ead0,2020-10-14T14:34:31Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,45251,741,45992,grid-file.side_cells=1000,110.49479569512276,duration,uniform
random-uniform-zipf,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,interval-tree,620420287e1d4af5db75522a1265bb7196ebd10c891ff073697bd39668a079c7,2020-09-24T18:52:18Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,391112,2823,393935,interval-tree.,12.784061854404875,duration,uniform
